18;2;396
15;2;518
1;5;325
10;12;294
8;4;699
27;8;784
16;2;503
22;4;589
25;3;574
18;3;769
25;2;637
25;8;316
11;2;393
15;10;266
22;11;541
13;8;427
30;1;311
12;2;592
21;4;154
29;1;107
25;11;432
23;5;200
20;1;393
23;4;692
3;9;557
23;6;539
3;8;372
30;5;170
21;10;411
9;7;571
7;5;536
16;5;437
20;8;214
7;12;790
2;1;553
1;12;533
2;1;152
28;8;210
28;11;168
21;9;432
14;9;276
6;4;160
2;8;326
22;4;710
1;8;773
6;3;175
3;12;455
19;2;344
6;9;290
7;12;640
27;8;177
2;1;257
16;1;276
23;7;545
30;3;700
2;6;770
12;12;641
30;6;222
16;3;347
10;7;125
28;2;752
8;10;627
14;8;385
4;2;459
19;4;351
10;12;158
11;5;380
29;6;361
6;8;275
2;4;141
24;3;672
12;11;274
17;5;630
5;5;187
3;1;192
30;10;679
5;10;240
30;4;576
7;8;115
29;6;565
1;3;493
